@relation D__cs583_researchProj_data

@attribute text string
@attribute @@class@@ {mixed,negative,neutral,positive}

@data
'Amid focus on weakness at Louis Vuitton, most miss that Dior actually accelerated in Q3 up 19\% in total and 23\%(!) at retail #luxe $EL $TIF',mixed
'For anyone interested in the nitty-gritty of the $DGX declaratory judgment action against $MYGN:',mixed
'\"$JNJ Well I overstayed my welcome in this short, though only had a small piece left. \"',mixed
'$WFC Wells Fargo\'s profit rises, but mortgage banking income falls',mixed
'$AAPL r/g...now the $GOOG joined in. $PCLN not looking good tho',mixed
'Welcome to Thunderdome: #HP vs. #Microsoft $HP $msft',mixed
'$TSLA $NFLX notable relative weakness here in those names...  $MOS looks hot for breakout test and has large gap fill I am long Jan 45s.',mixed
'RT @convolutedvol: I want to get all over the puts on $cmg chippotle shop house but it\'s to damn pricey',mixed
'\"RT @michaelsantoli: Has $GPS revival hit a wall at last? Sept only 3rd negative SSS month since end of \'11, first since then all three chai?',mixed
'Prediction: $aapl outruns $CREE and $NFLX by day\'s end. 5S sales are real; cable cos and $NFLX is myth.',mixed
'RT @LaMonicaBuzz: Look for leaders among this year\'s laggards. Could $XOM & $X be 2014 equivalent of $BBY & $HPQ? Buzz column in @MONEY htt…',mixed
'@dsobek do you know what happened to $ECYT & $BMY epofolate colaboration?',mixed
'\"$KLAC Top Analyst Upgrades and Downgrades: AMD, Coach, Lululemon, Nokia and ... \"',mixed
'$SPY  is down and yet all my buys from yest ripped this morning.. good morning world! 200\% and 300\% gainers.. 3 for 3 =)  $MSFT $TSLA $AAPL',mixed
'$PM Philip Morris International Inc. (PM): Feel Free To Hate This Company But Love ...',mixed
'@DougKass $JPM is new wiping boy for Govt. Like $BAC n $GS on pullbacks as more trading revenue - Merrill',mixed
'$AAPL how does your green apples taste this morning :)',mixed
'RT @helengibs: Nobodi got $wag like us',mixed
'Homebuilders haven\'t participated in this \'rally\' at all. Might be time to look at adding longs - or shorting S&P. $phm $len $spy $tol $hov',mixed
'$AET Aetna CEO: Convinced Obamacare was going to be difficult ...',mixed
'$DOW $NDAQ seems to have Washington fatigue.  Hard to short this week as a resolution may be looming soon.',mixed
'$XOM Stay granted in case over Exxon pipeline spill',mixed
'If medical device tax gets repealed (it won\'t) then $MDT will spike',mixed
'$ADEP just smashed through the $10 pivot. #Robotics play $IRBT $DDD $SSYS $XONE $PRLB $LOCK $FREE $MAKO $ISRG $SYK $AIXG $CVV $MXWL $AMAVF',mixed
'@michaelsantoli @RiskReversal $JCP getting some of it share back from all retailers.play opposite of street Long $JCP short the rest $GPS $M',mixed
'$PPG PPG Earnings Top, Net Down on Charges',mixed
'was tempted to buy options in $sqnm but then I realized how much $s I have lost',mixed
'The stock  market s weird. $MSFT stock up 8\% on an event that will happen up to a year from now & a new CEO who is unknown.!',mixed
'Check out: Why Yelp Will Never Be Great Again  sites',mixed
'$MA b.o. I do not have it. Am trading $V',mixed
'Are Seed Producers Poised To Grow While Fertilizer Producers Struggle? $MON',mixed
'Apple\'s 5C pricing gamble failing but the company still wins with booming 5S sales @hblodget',mixed
'$SBUX not doing to well today but $AIG is performing great, got in at $50.09 in premarket',mixed
'$PBCT Senate Leads Hunt For Government Shutdown Solution',mixed
'RT @Sital: $JPM CEO Dimon: One day the world has to taper, it will be a good thing to get to normalized interest rates & the underlying funâ€¦',mixed
'@CNBCFastMoney @GuyAdami @RedDogT3Live $ISRG thru 400 with volume could get SQUEEZE going Big time.',mixed
'This Morning: Street Divided over Teradata, FireEye, Believing MSFT’s Cloud - Tech Trader Daily - $AAPL $MSFT $CRUS',mixed
'Isabel is Short on $EXPE at #NASDAQ. Our profit 17.74\%. Target price $41.79. More info on #stocks',mixed
'Watch $HON could be looking to print a bearish harami',mixed
'\"Man, today is pretty boring. Name showing relative strength: $WDC $ATI $SPWR $DE $FAST\"',mixed
'\"Given the choice between the iPhone 5S and the ever so slightly cheaper 5C, shoppers decided to #gobigorgohome $AAPL\"',mixed
'Here?s How Jobs Inspired This Billionaire Investor to Dump Apple #aapl',mixed
'J.P. Morgan holding out better than expected as fundamentals come into focus; Wells Fargo not so much. $WFC',mixed
'\"$CTXS above yesterday\'s high/, could start trending slowly...$ARIA testing 5.$JPM/$WFC boring, hvnt touched.$SWY stabilized, look for Ls.',mixed
'\"Voila scenario \"\"A\"\". 488.5 hi OD? Maybe 490-491. Then down to 478. $aapl WS\' algorithm is beatable!!!',mixed
'@happyycamperr I believe $gs will be right about the slam dunk but theyll likely double up their gld share count to 10mil by then',mixed
'RT @SAI: Good News! The iPhone 5S Is Selling Very Well! Bad News! The iPhone 5C Might Be A Dud! $AAPL by @jyarow',mixed
'\"$TDC as is said in last nights tweet, I felt bottom would be around $45 area for a potential bounce, guess I missed it by a buck..lol\"',mixed
'BlackBerry?s Loss Is Apple?s Gain #hiring',mixed
'I\'m going to get my $2 bounce in $TDC today, else I never mention it again.',mixed
'$GS Turning out to be one of the most volatile $DIA stocks.',mixed
'selling some $FDX.  action in fincls $V $JPM $GS.  Looking at $LULU $KSS for potential longs if can clear resist.',mixed
'RT @YahooFinance: EARNINGS ALERT: #Alcoa Q3 EPS $0.11 ex-items vs. $0.05 Est. ; Q3 Revs. $5.77B vs. $5.63B Est. ? $AA (via @CNBC)',mixed
'Good News! The iPhone 5S Is Selling Very Well! Bad News! The iPhone 5C Might Be A Dud! $AAPL by @jyarow',mixed
'RT @brettchase: In case anyone is wondering, J&J is not interested in breaking up business to unleash value of pharma from slower-growth bu…',mixed
'$SWK Pre-Open Stock Movers 10/16: (RCPT) (AAP) (MAT) Higher; (SWK) (MCP) (JOEZ ...',mixed
'RT @YellowTayy_: ?@HoesLove_Niyyah: Couldnt $aee it NO 6ETTER Then Thiss !! ???',mixed
'$AIZ Stock Upgrades: Johnson & Johnson Is Head & Shoulders Above the Rest',mixed
'Small-Cap U.S. Healthcare REITs: Own Or Avoid? $VTR',mixed
'$wdc a great example of the Day#1 wake up through the descending channels.  Day#2 add on.  Day#3 trim and trail',mixed
'Who on earth would invest in $C when $WFC $GS $JPM are all better ?',mixed
'$EXPE long did well.. have to see if it breaks above 48',mixed
'$AIV Ian Thorpe\'s Hollywood house once representated a new beginning but a ...',mixed
'J.P. Morgan holding out better than expected as fundamentals come into focus; Wells Fargo not so much. $WFC',mixed
'Not overly confident with $YHOO today.  Still love Alibaba',mixed
'?OTM CALLS TRADING @ OFFER: $AAPL $BAC $BALE $KO $MU#OPTIONS',mixed
'$NFLX needs to hold 320.50',mixed
'$AAPL is looking quite interesting at this price. #stocks #nasdaq',mixed
'\"$PBCT Debt deal fades, but can markets keep climbing? \"',mixed
'RT @CBOE: Active puts @ CBOE; $AAPL Oct 480 & 490 $S Nov 6 $CNDO Feb 7.5 $KO May 33',mixed
'RT @hovastocks: Mall in #Miami lastnight Apple store packed. Microsoft about 10ppl $MSFT $AAPL',mixed
'Ill say it again Keep buying $aapl through 500 this is going back over 600 by end of year. (And I hate this company)',mixed
'$PRU Challenger plays the same game, just on a different field',mixed
'$WYNN Macau Gaming: Barclays Maintains Buy, But Be Careful Towards December',mixed
'How Microsoft\'s Loss Is Becoming Google\'s Gain $MSFT',mixed
'McClellan To The Rescue? J&J Adds Former FDA Commish To Its Board #risperdal',mixed
'\"$GOOG NSA stole your address book, too -- SALESFORCE dives into identity -- Google ... - InfoWorld \"',mixed
'?@Lil_7hugg: ?@YellowTayy_: ?@HoesLove_Niyyah: Couldnt $aee it NO 6ETTER Then Thiss !! ??? truth',mixed
'Solid eBay Earnings Seen, But Will PayPal Growth Slow? $HD',mixed
'These 4 stocks are gaining a ton of social interest today on StockTwits $WHR',mixed
'$FDX opened at 116.91 peaked at 120.24 now below 120',mixed
'RT @SamanthaLaDuc: $FSLR now I like it. setting up to pull a $SCTY. Needs to clear $45 and needs tight stop as it often disappoints.',mixed
'Wells Fargo profit rises but mortgage banking income falls, by me & Anil D\'Silva  $WFC',mixed
'#stockstowatch $AMZN $F $UTX $BA $NKE $NSC $BAC $COF $COP $EMR $FDX $GD $GE $GILD $HON $LMT $LOW $MA $MET $MMM $MS $NOV $SBUX $TXN $UPS $USB',mixed
'$GMCR down $1 and $CMG up $3. So much for the Einhorn effect!',mixed
'RT @cr_harper: Nice contrast -- JPMorgan\'s first loss under Dimon AND Wells Fargo reports record quarterly profit. $JPM $WFC @dakincampbellâ€¦',mixed
'@zbiotech Heck, I would not mind if blue skies happen with $CELG but not my base case.',mixed
'Hum... $aapl struggling w/ $500 and not really participating. Holding it down for EXP? Or just some consolidation before a big run?',mixed
'Why Citi\'s disappointment isn\'t disappointing at all $C @davidweidner',mixed
'$AAPL Innovator or bureaucrat? MSFT can\'t decide: Report',mixed
'Jag tar en för laget! $SBUX',mixed
'$NDAQ ETF Preview: Broad Market ETFs Leaning Higher, Commodities Funds Drop ...',mixed
'Short 3/3 $GOOG @ 872.50 //tweeted out my reasons earlier. Fundamental basis that TAC and Motorola expenses are going to weight GOOG down',mixed
'$TSS Previous Session\'s Bulls and Bears: AMR Corporation (OTCMKTS:AAMRQ ...',mixed
'$TDC Intel and Yahoo to Report; Teradata Tumbles; TiVo’s Poised for Bonanza?',mixed
'\"$SPY $dia $bby $tsla beauty, $spy volatile action, but holding nicely, always locking profits, news driven market, anything is possible! \"',mixed
'\"$HD Van Ness Square coming down, Park Van Ness going up \"',mixed
'@CNBCFastMoney @GuyAdami @SquawkStreet $BAC HOD as.. everyone shorted the earnings this morning... SQUEEEZE,,',negative
'$MU down -5\% today. Last sell signal was in September.',negative
'$CSCO Analyst says Polycom loses Cisco business',negative
'$WU Sweatshop owners in Bangladesh may start to sweat',negative
'#Walmart seeing weakness in large stock up trips #economy $WMT',negative
'$IBM International Business Machines Corp. (IBM): How Cloudy Is IBM\'s Future',negative
'\"close $nflx put, ouch... Whatever. \"',negative
'world o\' hurt for $LLY RT @bhmunos: Investors brace for lean years from Lilly  2013-10-12',negative
'$jcp in at 7.77 i think we got a bottom. MOOO!',negative
'BLOCK TRADE detected in $INTC',negative
'Are Seed Producers Poised To Grow While Fertilizer Producers Struggle? $MON',negative
'Stanley Black & Decker takes a hacksaw to its FY outlook. $SWK –15\%. More from @MatthewRocco:',negative
'RT @MaysReport: Potash sales price will hit $300 per tonne, negative for revenues $IPI',negative
'RT @sandrapatriot: The One Word Missing From All Those ObamaCare Ads FORCED…',negative
'Angola set to impose hefty taxes on oil producers $STO?',negative
'\"AT&T: Mediocre Share Performance, Limited Upside And Slowing Dividend Growth $T \"',negative
'$AAPL Remember guys - whatever it takes, this has to stay below $500 until next friday. Too much options to pay otherwise.',negative
'$STZ Lowest P/E Stocks In George Soros Portfolio',negative
'@bhatnaturally with Apple going with different prices in different countries, I am sure that there is more than duties and $s in the pic',negative
'Coca-Cola Is Over-Priced $KO',negative
'$JPM Default would be catastrophic for big banks',negative
'RT @GuyAdami: So now that the sideshow appears to be over, earnings will take center stage. Market better hope that the likes of $SWK is no…',negative
'always sad to cover a great short, but it needs to be done - $TDC via con dios, til the next time',negative
'Re Sculley advice for $AAPL how many giant corp acquisition splurges are long-term accretive? Odds = disappointment / disaster. #HELLOMCFLY',negative
'\"KeyCorp Touts Expense Cuts, Commercial Loan Growth: $USB \"',negative
'$TRV received a new alert. See why at #daytrading',negative
'$JPM J.P. Morgan to pay $100 mln fine over \'Whale\'',negative
'$EIX Are Utility Companies Out to Destroy Solar\'s \'Rooftop Revolution\'?',negative
'@Raven_Trader11 @CMEGroup #CME has to address the #HFT issue in $GC and $CL before they\'re totally irrelevant. CL is moving .50 in seconds.',negative
'@JohnCornyn  Obam can\'t cut SS payments. Its an annuity beyond CongressObam. Govt borrows SS $s 1reason Peeps think Its an entitlement Not',negative
'$NFLX finally putting some chains on its tires?',negative
'$RTN Cybersecurity talent pipeline not being fed by high schools, new Raytheon sur..',negative
'@BioRunUp Why isn\'t $SQNM moving higher on this $AET Materni1 coverage?',negative
'$mu straight to $18 - turn and burn',negative
'RT @ReutersMoney: Has Jamie Dimon lost his shine? Loss',negative
'$INTC 23.56 HOD, looking for a squeeze soon.',negative
'$BTU This Company Is the Canary in the Coal Mine',negative
'$PBCT World Economic Leaders Express Concern as US Debt Deadline Looms',negative
'$JPM ugly reversal.',negative
'$BLK Sector Watch: Asset Management Stocks on a 52-week Low',negative
'$ANF The Party\'s Over For Cyclical Stocks',negative
'@AndyJacksonJr @BarbarianCap @axiosadvisors because $XOM wouldn\'t let him cut side deals and run an energy fund on the side. pesky corp gov.',negative
'@firstadopter with that last name? I don\'t think so. Maybe he could find a running mate named Klink or Kawasaki? $SBUX',negative
'$wfc out of my april 14 / 40 calls in @ 2.60 out @ 3.05 too much risk with these morons in #washington starting with saving grace = SAD',negative
'$BAC HSBC Receives Neutral Rating from Bank of America Corp. (HBC)',negative
'$INTC Stocks hold losses as focus remains on Washington; Citi slips',negative
'@BrianSozzi @AshleyLutz Where canabalizing is easiest is where $WMT co-locates a Sam\'s club and a Walmart store.  Sales at Sam\'s club hurt',negative
'\"$VZ Volatile Movements - Verizon Communications Inc.(NYSE:VZ), MGM Resorts ... \"',negative
'$MYL Analysts Downgrades – AVT, COH, CWCO, CVA, DEO, DEG, ERIC, EXPE ...',negative
'RT @InvestorWisdom: $ADEP just smashed through the $10 pivot. #Robotics play $IRBT $DDD $SSYS $XONE $PRLB $LOCK $FREE $MAKO $ISRG $SYK $AIXÃ–',negative
'$CA CA affirms dismissal of 4 DOF employees in tax-credit scandal',negative
'Coca-Cola Is Over-Priced $KO',negative
'$PSX = #technicalbreakout',negative
'It\'s 10:18 Eastern, shouldn\'t someone crow about a new ATH $sbux ?',negative
'I did buy some $TDC around 43.77ish seems safe to buy in that area, not to hard to flip it.  But the play seems over to the downside for now',negative
'$LIFE Nigerian Healthcare and the Crisis of Conscience',negative
'Great insight: How Cloudy Is IBM\'s Future $IBM',negative
'I have a feeling Jamie Dimon has passed the point at which he will ever be able to step down gracefully from either or both his jobs at $JPM',negative
'Commented on StockTwits: $JPM NO one still asks the question:\"HOW many JOBS on MAIN ST. would $23 billion create?\"...',negative
'$JPM Penalties: How Many Are Enough For JPMorgan Chase & Co. (NYSE:JPM)?',negative
'Its about freakin\' time $C moved back over $50. I peeked. Good day. ;) #ScrewYouShutdown',negative
'\"$CMG DPZ Misses Earnings by a Cent, Beats Revs \"',negative
'$PBCT Oil dips on uncertainty over US debt deal',negative
'$NBL Are Australian idols set in stone?',negative
'Microsoft?s Nokia Buy Doesn?t Impress App Developers #microsoft',negative
'$ADT NYSE CFO to Depart as ICE Deal Nears',negative
'Hewlett-Packard May Have To Consider A Breakup In Its Turnaround Efforts $HPQ',negative
'\"Jamie Dimon calls legal environment \"\"highly charged and unpredictable\"\" $JPM',negative
'Think its time to dump my long position in $GOOG - Havent been able to make any $$ on it. Thinking its better to go to cash for a new play.',negative
'@mproffitt @stockpro2X @PeterGhostine $MU You\'re seeing several analysts with egg on their face who couldn\'t do what they were hired to to.',negative
'@SwatOptions $NFLX down to 313 in a flash.',negative
'$MU feels coiled',negative
'$CAT NYSE Decliners Watch List: Deere & Company (NYSE:DE) and Caterpillar Inc ...',negative
'Wells laid off 5,300 full-time mortgage employees in Q3 but, because of 60-day notice, won\'t save on comp until Q4. $WFC',negative
'$BAC Bank of America Expenses Up on Legal Costs',negative
'@BrianSozzi $WMT does not use loyaty rewards as much as competitors $CVS $RAD etc. Could hurt serving price concious',negative
'\"$MU Micron Technology, Inc. (NASDAQ:MU) Dipped As the Market Kept Expecting A ... \"',negative
'$BLL Who Let the Dogs In?At Work?',negative
'$RHI Stock Downgrades: Default Lies With Dassault',negative
'out remaining $NFLX 330 calls at 3.15 from 1.88 Its dropping for some reason',negative
'How is $WU going to compete with square cash? They won\'t. Not in USA for now anyway',negative
'RT @HedgehogTrader: I know everyone hates it but I think $JCP is getting close to popping soon. @MagisterIR',negative
'$PBCT FEDERAL SHUTDOWN: Food programs starting to feel the pinch',negative
'\"RT @rcwhalen: $JPM mortgage: \"\"revenues are down over 50\% quarter on quarter. This reflects both a reduction in [locks] and impact of mix ch? \"',negative
